borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Bronx,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,418 EAST 182 STREET                      ,10457,1,0,1,1899,225000.0,2014-12-11,2014,2014-12
Bronx,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1979 WASHINGTON AVENUE                   ,10457,1,0,1,1899,580000.0,2014-02-07,2014,2014-02
Bronx,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,467 EAST 185TH STREET                    ,10458,1,0,1,1910,225000.0,2014-09-29,2014,2014-09
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1538 WASHINGTON AVENUE                   ,10457,2,0,2,1993,297000.0,2014-06-13,2014,2014-06
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,484 CLAREMONT PARKWAY                    ,10457,2,0,2,1993,390000.0,2014-10-17,2014,2014-10
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,4469 PARK AVENUE                         ,10457,2,0,2,1899,300000.0,2014-03-28,2014,2014-03
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,2083 WASHINGTON AVENUE                   ,10457,2,0,2,1899,525200.0,2014-12-29,2014,2014-12
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,2083 WASHINGTON AVENUE                   ,10457,2,0,2,1899,240000.0,2014-08-04,2014,2014-08
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,459 EAST 179 STREET                      ,10457,2,0,2,1998,380000.0,2014-01-14,2014,2014-01
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,440 EAST 185TH ST                        ,10458,2,0,2,1997,360000.0,2014-04-21,2014,2014-04
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,440 EAST 185TH                           ,10458,2,0,2,1997,360000.0,2014-01-28,2014,2014-01
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,448 EAST 185 STREET                      ,10458,2,0,2,1997,385000.0,2014-12-12,2014,2014-12
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,469A EAST 184TH STREET                   ,10458,2,0,2,2006,312000.0,2014-11-05,2014,2014-11
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,4654-4656 PARK AVENUE                    ,10458,2,1,3,1910,370000.0,2014-04-24,2014,2014-04
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,508 EAST 183 STREET                      ,10458,2,0,2,1901,165000.0,2014-08-13,2014,2014-08
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,2241 BATHGATE AVENUE                     ,10457,2,0,2,2004,273000.0,2014-07-25,2014,2014-07
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,511 EAST 183RD STREET                    ,10458,2,1,3,1901,360000.0,2014-12-08,2014,2014-12
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,458 EAST 182ND STREET                    ,10457,3,0,3,1899,327600.0,2014-09-29,2014,2014-09
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,465 EAST 184 STREET                      ,10458,3,0,3,1925,400000.0,2014-04-10,2014,2014-04
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,2239 BATHGATE AVENUE                     ,10457,3,0,3,1901,360000.0,2014-10-27,2014,2014-10
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,2239 BATHGATE AVENUE                     ,10457,3,0,3,1901,250000.0,2014-03-14,2014,2014-03
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,508 EAST 184 STREET                      ,10458,3,0,3,2005,440000.0,2014-03-05,2014,2014-03
Bronx,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,452 EAST 178 ST                          ,10457,0,0,0,0,160000.0,2014-03-18,2014,2014-03
Bronx,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,420 EAST 173 STREET                      ,10457,6,0,6,1910,265000.0,2014-01-28,2014,2014-01
Bronx,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,416 EAST 187 STREET                      ,10458,12,0,12,1909,1100000.0,2014-07-17,2014,2014-07
Bronx,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,4462 PARK AVENUE                         ,10457,13,0,13,1910,850000.0,2014-05-22,2014,2014-05
Bronx,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,463 EAST 185TH STREET                    ,10458,4,0,4,1910,330000.0,2014-11-20,2014,2014-11
Bronx,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,546 EAST 182 STREET                      ,10457,25,0,25,1913,2800000.0,2014-12-22,2014,2014-12
Bronx,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2254 BASSFORD AVENUE                     ,10457,8,0,8,1910,8500000.0,2014-11-25,2014,2014-11
Bronx,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,490 EAST 184 STREET                      ,10458,15,0,15,1913,1400000.0,2014-06-09,2014,2014-06
Bronx,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,"463 EAST 178TH STREET, 2B                ",10457,0,0,0,1935,10503.0,2014-08-20,2014,2014-08
