borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,4 EDWIN STREET,10312,1,0,1,1980,866000.0,2017-08-03,2017,2017-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,112 ELMBANK STREET,10312,1,0,1,1975,735000.0,2017-11-07,2017,2017-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,193 BATHGATE STREET,10312,1,0,1,1920,350000.0,2017-07-17,2017,2017-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,95 EAGAN AVENUE,10312,1,0,1,1986,475000.0,2017-09-07,2017,2017-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,83 EAGAN AVENUE,10312,1,0,1,1986,437500.0,2017-05-30,2017,2017-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,31 EAGAN AVENUE,10312,1,0,1,1986,354900.0,2017-12-13,2017,2017-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,19 EAGAN AVENUE,10312,1,0,1,1986,412000.0,2017-08-22,2017,2017-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,15 EAGAN AVENUE,10312,1,0,1,1986,250000.0,2017-12-20,2017,2017-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,100 SEGUINE PLACE,10312,1,0,1,1986,439000.0,2017-06-29,2017,2017-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,92 SEGUINE PLACE,10312,1,0,1,1986,300000.0,2017-06-30,2017,2017-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,92 SEGUINE PLACE,10312,1,0,1,1986,410000.0,2017-12-18,2017,2017-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,95 LORRAINE AVENUE,10312,1,0,1,2005,520000.0,2017-09-19,2017,2017-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,93 JEANNETTE AVENUE,10312,1,0,1,2007,600000.0,2017-05-23,2017,2017-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,143 FABIAN STREET,10312,1,0,1,1965,675000.0,2017-03-03,2017,2017-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,68 LORRAINE AVENUE,10312,1,0,1,2004,507500.0,2017-01-13,2017,2017-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,59 ENDVIEW STREET,10312,1,0,1,2004,529000.0,2017-01-09,2017,2017-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,55 ENDVIEW STREET,10312,1,0,1,2004,540000.0,2017-05-22,2017,2017-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,61 BARB STREET,10312,1,0,1,2004,535000.0,2017-05-05,2017,2017-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,53 BARB STREET,10312,1,0,1,2004,520000.0,2017-03-15,2017,2017-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,46 ENDVIEW STREET,10312,1,0,1,2003,406369.0,2017-06-09,2017,2017-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1000 ARDEN AVENUE,10312,1,0,1,2005,480000.0,2017-11-28,2017,2017-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS                    ,45 JEANNETTE AVENUE,10312,1,0,1,2004,539900.0,2017-04-06,2017,2017-04
