borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,21-48 81ST STREET,11370,1.0,0.0,1,1950,730000.0,2018-07-19,2018,2018-07
Queens,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,21-07 80 STREET,11370,1.0,0.0,1,1950,822500.0,2018-11-21,2018,2018-11
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,310 BEACH 39TH STREET,11691,1.0,0.0,1,1940,360000.0,2018-07-06,2018,2018-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,337 BEACH 41 STREET,11691,1.0,0.0,1,2006,276000.0,2018-06-20,2018,2018-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,343 BEACH 46 STREET,11691,1.0,0.0,1,1920,288750.0,2018-07-12,2018,2018-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,355 BEACH 47 STREET,11691,1.0,0.0,1,1920,210000.0,2018-02-05,2018,2018-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,40-13 ROCKAWAY BEACH BLVD,11691,1.0,0.0,1,1920,437026.0,2018-10-08,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,418 BEACH 38 STREET,11691,1.0,0.0,1,2003,65000.0,2018-01-09,2018,2018-01
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,490 BEACH 44 STREET,11691,1.0,0.0,1,1899,137500.0,2018-12-20,2018,2018-12
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,490 BEACH 44 STREET,11691,1.0,0.0,1,1899,105000.0,2018-09-10,2018,2018-09
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,425 BEACH 44TH STREET,11691,1.0,0.0,1,1920,450000.0,2018-01-30,2018,2018-01
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,460 BEACH 46TH STREET,11691,1.0,0.0,1,1920,350000.0,2018-04-30,2018,2018-04
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,462 BEACH 46 STREET,11691,1.0,0.0,1,1920,193200.0,2018-10-05,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,477 BEACH 45TH ST,11691,1.0,0.0,1,1920,184500.0,2018-01-04,2018,2018-01
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,477 BEACH 45TH STREET,11691,1.0,0.0,1,1920,305000.0,2018-10-24,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,441 BEACH 45TH STREET,11691,1.0,0.0,1,1920,95000.0,2018-10-05,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,429 BEACH 45TH STREET,11691,1.0,0.0,1,1920,415000.0,2018-05-07,2018,2018-05
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,423 BEACH 45,11691,1.0,0.0,1,1920,175000.0,2018-12-27,2018,2018-12
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,411 BEACH 45TH STREET,11691,1.0,0.0,1,1920,455000.0,2018-07-20,2018,2018-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,457 BEACH 46 STREET,11691,1.0,0.0,1,2004,300000.0,2018-06-12,2018,2018-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,423 BEACH 46 STREET,11691,1.0,0.0,1,1940,345000.0,2018-02-07,2018,2018-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,6-31 BEACH 65 STREET,11692,1.0,0.0,1,1960,380000.0,2018-03-09,2018,2018-03
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,6-29 BEACH 65 STREET,11692,1.0,0.0,1,1960,375000.0,2018-06-14,2018,2018-06
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,648 BEACH 69TH STREET,11692,1.0,0.0,1,1920,410000.0,2018-10-05,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,528 BEACH 65 STREET,11692,1.0,0.0,1,1960,410000.0,2018-02-26,2018,2018-02
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,548 BEACH 65TH STREET,11692,1.0,0.0,1,1960,329000.0,2018-08-23,2018,2018-08
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,555 BEACH 66TH STREET,11692,1.0,0.0,1,1965,245000.0,2018-12-14,2018,2018-12
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,563 BEACH 67 STREET,11692,1.0,0.0,1,1950,667898.0,2018-08-07,2018,2018-08
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,5-49 BEACH 68 STREET,11692,1.0,0.0,1,1920,110000.0,2018-10-19,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,4-46 BEACH 65 STREET,11692,1.0,0.0,1,1910,350000.0,2018-04-26,2018,2018-04
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,441 BEACH 64TH ST,11692,1.0,0.0,1,1960,130000.0,2018-01-18,2018,2018-01
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,449 BEACH 66TH STREET,11692,1.0,0.0,1,1920,430000.0,2018-10-04,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,425 BEACH 68TH STREET,11692,1.0,0.0,1,1920,413400.0,2018-10-04,2018,2018-10
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,69-09 BAYFIELD AVENUE,11692,1.0,0.0,1,1930,200000.0,2018-04-27,2018,2018-04
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,69-51 BURCHELL AVE,11692,1.0,0.0,1,1960,130000.0,2018-11-12,2018,2018-11
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,69-23 ELIZABETH AVENUE,11692,1.0,0.0,1,1915,269000.0,2018-07-03,2018,2018-07
Queens,ARVERNE,01 ONE FAMILY DWELLINGS,6923 ELIZABETH AVENUE,11692,1.0,0.0,1,1915,220000.0,2018-01-18,2018,2018-01
