borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,119 LENZIE STREET,10312,1.0,0.0,1,1998.0,315000.0,2020-10-02,2020,2020-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,118 ELMBANK STREET,10312,1.0,0.0,1,1975.0,450000.0,2020-06-24,2020,2020-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,7 SANDGAP STREET,10312,1.0,0.0,1,1925.0,525000.0,2020-07-02,2020,2020-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,91 EAGAN AVENUE,10312,1.0,0.0,1,1986.0,480000.0,2020-01-14,2020,2020-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,7 SEGUINE PLACE,10312,1.0,0.0,1,2004.0,720000.0,2020-10-15,2020,2020-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,60 SEGUINE PLACE,10312,1.0,0.0,1,1986.0,429000.0,2020-11-19,2020,2020-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,15 EAGAN AVENUE,10312,1.0,0.0,1,1986.0,550000.0,2020-10-22,2020,2020-10
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,70 SEGUINE PLACE,10312,1.0,0.0,1,1986.0,455500.0,2020-07-15,2020,2020-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,44 LUCY LOOP,10312,1.0,0.0,1,2000.0,410670.0,2020-11-10,2020,2020-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,93 LORRAIN AVENUE,10312,1.0,0.0,1,2005.0,520000.0,2020-06-22,2020,2020-06
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,91 LORRAINE AVENUE,10312,1.0,0.0,1,2005.0,530000.0,2020-12-30,2020,2020-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,87 LORRAINE AVE,10312,1.0,0.0,1,2005.0,545000.0,2020-09-01,2020,2020-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,12 EAGAN AVENUE,10312,1.0,0.0,1,1994.0,458000.0,2020-07-07,2020,2020-07
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,18 EAGAN AVENUE,10312,1.0,0.0,1,1994.0,435000.0,2020-08-20,2020,2020-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,121 BARCLAY AVENUE,10312,1.0,0.0,1,1925.0,650000.0,2020-12-17,2020,2020-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,64 LORRAINE AVENUE,10312,1.0,0.0,1,2004.0,472000.0,2020-05-29,2020,2020-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,90 LORRAINE AVENUE,10312,1.0,0.0,1,2004.0,580000.0,2020-05-01,2020,2020-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,46 ENDVIEW STREET,10312,1.0,0.0,1,2003.0,575000.0,2020-11-06,2020,2020-11
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,56 ENDVIEW STREET,10312,1.0,0.0,1,2003.0,518000.0,2020-12-07,2020,2020-12
