borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Bronx,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,2329 WASHINGTON AVE                      ,10458,1,0,1,1910,300000.0,2015-02-20,2015,2015-02
Bronx,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,455 EAST 184 STREET                      ,10458,1,1,2,1910,400000.0,2015-07-01,2015,2015-07
Bronx,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,2368 WASHINGTON AVENUE                   ,10458,1,2,3,1931,510000.0,2015-01-06,2015,2015-01
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,3823 3 AVENUE                            ,10457,2,0,2,1993,430000.0,2015-08-04,2015,2015-08
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,517 EAST 171 STREET                      ,10457,2,0,2,1993,10000.0,2015-06-02,2015,2015-06
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,3862 3RD AVENUE                          ,10457,2,0,2,1995,389000.0,2015-01-29,2015,2015-01
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1557 FULTON AVENUE                       ,10457,2,0,2,1995,505000.0,2015-08-05,2015,2015-08
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1557 FULTON AVENUE                       ,10457,2,0,2,1995,250000.0,2015-02-19,2015,2015-02
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,2264 WEBSTER AVENUE                      ,10457,2,1,3,1931,490000.0,2015-09-28,2015,2015-09
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,4461 PARK AVENUE                         ,10457,2,0,2,1899,100000.0,2015-08-20,2015,2015-08
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1983 WASHINGTON AVENUE                   ,10457,2,0,2,1998,228000.0,2015-11-16,2015,2015-11
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,4354 PARK AVENUE                         ,10457,2,0,2,1899,128778.0,2015-05-29,2015,2015-05
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,465 EAST 179 STREET                      ,10457,2,0,2,1998,420000.0,2015-04-23,2015,2015-04
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,508 EAST 183 STREET                      ,10458,2,0,2,1901,449000.0,2015-06-08,2015,2015-06
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,2238 BASSFORD AVENUE                     ,10457,2,0,2,1901,261000.0,2015-09-25,2015,2015-09
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,509 EAST 183 STREET                      ,10458,2,0,2,1901,393600.0,2015-04-01,2015,2015-04
Bronx,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,2315 BASSFORD AVENUE                     ,10458,2,0,2,1901,232215.0,2015-08-18,2015,2015-08
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,468 E 183 STREET                         ,10458,3,0,3,2004,435919.0,2015-05-29,2015,2015-05
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,470 EAST 183 STREET                      ,10458,3,0,3,2004,400000.0,2015-06-18,2015,2015-06
Bronx,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,2108 BATHGATE                            ,10457,3,0,3,2005,452000.0,2015-09-09,2015,2015-09
