borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,1730 86TH STREET,11214,1.0,1.0,2,1926.0,1630000.0,2019-02-08,2019,2019-02
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,1732 86TH STREET,11214,1.0,1.0,2,1926.0,1630000.0,2019-02-08,2019,2019-02
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,23 BAY 26TH STREET,11214,1.0,0.0,1,1899.0,1200000.0,2019-09-20,2019,2019-09
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,132 BAY 13 STREET,11214,1.0,0.0,1,1910.0,1150000.0,2019-03-28,2019,2019-03
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,1725 BATH AVENUE,11214,1.0,1.0,2,1920.0,980000.0,2019-02-21,2019,2019-02
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,231 BAY 7TH STREET,11228,2.0,0.0,2,1935.0,990000.0,2019-10-10,2019,2019-10
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,8805 15TH AVENUE,11228,1.0,0.0,1,1920.0,999000.0,2019-05-28,2019,2019-05
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,300 BAY 10TH STREET,11228,1.0,0.0,1,1920.0,850000.0,2019-10-29,2019,2019-10
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,302 BAY 10TH STREET,11228,1.0,0.0,1,1920.0,768000.0,2019-06-17,2019,2019-06
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,8866 16TH AVENUE,11214,1.0,0.0,1,1950.0,765000.0,2019-09-05,2019,2019-09
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,317 BAY 14TH STREET,11214,1.0,0.0,1,1950.0,770000.0,2019-05-22,2019,2019-05
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,275 BAY 14TH STREET,11214,1.0,0.0,1,1930.0,830000.0,2019-07-19,2019,2019-07
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,298 BAY 13TH STREET,11214,1.0,0.0,1,1945.0,717866.0,2019-11-14,2019,2019-11
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,279 BAY 13TH STREET,11214,1.0,0.0,1,1940.0,680000.0,2019-02-14,2019,2019-02
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,8881 16TH AVENUE,11214,1.0,0.0,1,1940.0,858000.0,2019-12-16,2019,2019-12
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,319 BAY 13TH STREET,11214,1.0,0.0,1,1940.0,680000.0,2019-08-29,2019,2019-08
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,331 BAY 13TH STREET,11214,1.0,0.0,1,1940.0,550000.0,2019-11-06,2019,2019-11
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,1141 SHORE PARKWAY,11214,1.0,0.0,1,1945.0,832000.0,2019-06-11,2019,2019-06
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,1127 SHORE PARKWAY,11214,1.0,0.0,1,1940.0,890000.0,2019-12-20,2019,2019-12
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,240 BAY 23RD STREET,11214,1.0,0.0,1,1945.0,730000.0,2019-08-20,2019,2019-08
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,243 BAY 23RD STREET,11214,1.0,0.0,1,1945.0,850000.0,2019-02-12,2019,2019-02
Brooklyn,BATH BEACH,01 ONE FAMILY DWELLINGS,243 BAY 23 STREET,11214,1.0,0.0,1,1945.0,995000.0,2019-11-05,2019,2019-11
Brooklyn,BATH BEACH,02 TWO FAMILY DWELLINGS,8645 14TH AVENUE,11228,2.0,0.0,2,1930.0,637500.0,2019-03-27,2019,2019-03
Brooklyn,BATH BEACH,02 TWO FAMILY DWELLINGS,1507 BENSON AVENUE,11228,2.0,0.0,2,1930.0,1200000.0,2019-06-05,2019,2019-06
Brooklyn,BATH BEACH,02 TWO FAMILY DWELLINGS,1539 BENSON AVENUE,11228,2.0,0.0,2,1930.0,1280000.0,2019-11-20,2019,2019-11
Brooklyn,BATH BEACH,02 TWO FAMILY DWELLINGS,29 BAY 13TH,11214,2.0,0.0,2,1960.0,1380000.0,2019-01-28,2019,2019-01
Brooklyn,BATH BEACH,02 TWO FAMILY DWELLINGS,25 BAY 13TH STREET,11214,2.0,0.0,2,1960.0,1738000.0,2019-06-28,2019,2019-06
