borough,neighborhood,building_class_category,address,zip_code,residential_units,commercial_units,total_units,year_built,sale_price,sale_date,sale_year,sale_month
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,21 FINGAL STREET,10312,1.0,0.0,1,1985.0,1650000.0,2019-03-14,2019,2019-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,525 SYCAMORE STREET,10312,1.0,0.0,1,1980.0,775000.0,2019-12-13,2019,2019-12
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,1468 ARDEN AVENUE,10312,1.0,0.0,1,1940.0,685000.0,2019-04-15,2019,2019-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,108 LENZIE STREET,10312,1.0,0.0,1,1920.0,620000.0,2019-02-14,2019,2019-02
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,193 BATHGATE STREET,10312,2.0,0.0,2,2018.0,1221900.0,2019-05-09,2019,2019-05
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,9 SANDGAP STREET,10312,1.0,0.0,1,1950.0,520000.0,2019-08-14,2019,2019-08
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,1754 ARDEN AVENUE,10312,1.0,0.0,1,1997.0,650000.0,2019-04-15,2019,2019-04
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,69 EAGAN AVE,10312,1.0,0.0,1,1986.0,34000.0,2019-01-18,2019,2019-01
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,62 SEGUINE PLACE,10312,1.0,0.0,1,1986.0,430000.0,2019-09-30,2019,2019-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,36 SEGUINE PLACE,10312,1.0,0.0,1,1986.0,363000.0,2019-03-28,2019,2019-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,34 SEGUINE PLACE,10312,1.0,0.0,1,1986.0,370000.0,2019-09-26,2019,2019-09
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,52 MAY PLACE,10312,1.0,0.0,1,1986.0,609000.0,2019-03-08,2019,2019-03
Staten Island,ANNADALE,01 ONE FAMILY DWELLINGS,96 JEANNETTE AVENUE,10312,1.0,0.0,1,1970.0,685000.0,2019-06-25,2019,2019-06
